white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Caruana, Fabiano","Sevian, Samuel",American Cup Champ,2022.04.23,0.6635714285714285,0.6812500000000001,0.288,0.9709999999999999,0.9469999999999998,0.619375,0.5535714285714286,0.4,0.5,0.4,0.3,0.9375,0.5892857142857143,0.45,0.5,0.5,0.4,0.9375,1.6929161806791249,1.2780216833359763
"Sevian, Samuel","Caruana, Fabiano",American Cup Champ,2022.04.23,0.41372549019607846,0.34575,0.272,0.22500000000000003,0.8190000000000002,0.6609090909090909,0.5490196078431373,0.475,0.3,0.3,0.9,0.8181818181818182,0.5490196078431373,0.475,0.3,0.3,0.9,0.8181818181818182,0.8895908290541528,0.6031111115047648
"Sevian, Samuel","Caruana, Fabiano",American Cup Champ,2022.04.23,0.015714285714285715,0.015714285714285715,0.033,0.0,0.0,,0.9047619047619048,0.9047619047619048,1.0,1.0,,,0.9523809523809523,0.9523809523809523,1.0,1.0,,,0.03668397859712446,0.03668397859712446
"Caruana, Fabiano","Dominguez Perez, Leinier",American Cup Champ,2022.04.24,0.09255813953488372,0.0995,0.173,0.09199999999999997,0.09199999999999998,-0.0,0.5813953488372093,0.55,0.4,0.6,0.8,1.0,0.6744186046511628,0.65,0.5,0.8,0.8,1.0,0.18265362774877916,0.18767060614346726
"Dominguez Perez, Leinier","Caruana, Fabiano",American Cup Champ,2022.04.25,0.04090909090909091,0.045,0.124,0.021000000000000008,0.038,0.0,0.75,0.725,0.7,0.7,1.0,1.0,0.8863636363636364,0.875,0.9,0.8,1.0,1.0,0.12454229097384868,0.1300493003165358
"Aronian, Levon","Caruana, Fabiano",American Cup Champ,2022.04.27,0.20761904761904765,0.21800000000000003,0.10099999999999998,0.28300000000000003,0.329,0.0,0.47619047619047616,0.45,0.2,0.5,0.6,1.0,0.5238095238095238,0.5,0.3,0.5,0.6,1.0,0.3891504789128432,0.3960846840299142
"Caruana, Fabiano","Aronian, Levon",American Cup Champ,2022.04.28,0.08511627906976743,0.09149999999999998,0.10800000000000001,0.16499999999999998,0.05700000000000001,-0.0,0.5581395348837209,0.525,0.3,0.6,0.8,1.0,0.6744186046511628,0.65,0.5,0.6,0.9,1.0,0.2716735794594337,0.2808645078945929
"Caruana, Fabiano","Firouzja, Alireza",Superbet Classic 2022,2022.05.05,0.19631578947368422,0.19631578947368422,0.198,0.19444444444444445,,,0.21052631578947367,0.21052631578947367,0.1111111111111111,,,,0.47368421052631576,0.47368421052631576,0.5555555555555556,,,,0.21823052353763156,0.21823052353763156
"Dominguez Perez, Leinier","Caruana, Fabiano",Superbet Classic 2022,2022.05.06,0.07567567567567567,0.07567567567567567,0.122,0.12000000000000002,0.03799999999999999,,0.5135135135135135,0.5135135135135135,0.4,0.5,1.0,,0.7297297297297297,0.7297297297297297,0.6,0.8,1.0,,0.12606304728940948,0.12606304728940948
"Caruana, Fabiano","So, Wesley",Superbet Classic 2022,2022.05.07,0.08266666666666667,0.08266666666666667,0.12899999999999998,0.09100000000000004,0.027999999999999997,,0.5333333333333333,0.5333333333333333,0.4,0.8,,,0.6333333333333333,0.6333333333333333,0.4,0.9,,,0.191706192825939,0.191706192825939
"Vachier-Lagrave, Maxime","Caruana, Fabiano",Superbet Classic 2022,2022.05.08,0.27892857142857147,0.27892857142857147,0.33599999999999997,0.35100000000000003,0.11750000000000005,,0.32142857142857145,0.32142857142857145,0.2,0.5,,,0.42857142857142855,0.42857142857142855,0.4,0.625,,,0.45766993836909636,0.45766993836909636
"Caruana, Fabiano","Mamedyarov, Shakhriyar",Superbet Classic 2022,2022.05.09,0.12928571428571428,0.19150000000000006,0.11599999999999999,0.30199999999999994,0.31300000000000006,-0.026249999999999996,0.5,0.375,0.3,0.3,0.6,0.8125,0.5714285714285714,0.45,0.3,0.5,0.6,0.875,0.3257207791560526,0.360068013518244
"Caruana, Fabiano","Nepomniachtchi, Ian",Superbet Classic 2022,2022.05.11,0.05166666666666667,0.05166666666666667,0.14699999999999996,0.008,-0.0,,0.7333333333333333,0.7333333333333333,0.9,1.0,,,0.8333333333333334,0.8333333333333334,1.0,1.0,,,0.13706488102061515,0.13706488102061515
"Aronian, Levon","Caruana, Fabiano",Superbet Classic 2022,2022.05.12,0.04733333333333333,0.04733333333333333,0.071,0.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.8,0.8,1.0,,,,0.08276184996436349,0.08276184996436349
"Caruana, Fabiano","Rapport, Richard",Superbet Classic 2022,2022.05.13,0.0702439024390244,0.07200000000000001,0.14500000000000002,0.096,0.0010000000000000002,-0.0,0.7317073170731707,0.725,0.6,1.0,0.8,1.0,0.8048780487804879,0.8,0.7,1.0,0.8,1.0,0.18090726636702642,0.18285765796630743
"Deac, Bogdan-Daniel","Caruana, Fabiano",Superbet Classic 2022,2022.05.14,0.006363636363636363,0.006999999999999999,0.015999999999999993,-0.012,0.003,0.0,0.9318181818181818,0.925,1.0,1.0,0.9,1.0,0.9545454545454546,0.95,1.0,1.0,0.9,1.0,0.052610499840298884,0.05520126345636925
