white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Keymer, Vincent","Haria, Ravi",Bundesliga 2021-22,2022.04.09,0.06340425531914895,0.06400000000000002,0.152,0.05800000000000001,0.05,0.06000000000000002,0.6808510638297872,0.675,0.5,0.9,1.0,0.7142857142857143,0.7659574468085106,0.775,0.9,0.9,1.0,0.7142857142857143,0.12901426607574779,0.12737588227217658
"Seel, C","Keymer, Vincent",Bundesliga 2021-22,2022.04.10,0.0128,0.016,0.016000000000000004,0.0,0.03899999999999999,0.0,0.82,0.775,1.0,0.6,0.7,1.0,0.96,0.95,1.0,0.9,1.0,1.0,0.060711428504198514,0.06766432988260164
"Stern, R","Keymer, Vincent",Bundesliga 2021-22,2022.04.30,0.08388888888888887,0.08388888888888887,0.101,0.06249999999999997,,,0.5555555555555556,0.5555555555555556,0.5,,,,0.5555555555555556,0.5555555555555556,0.5,,,,0.1771386591773896,0.1771386591773896
"Keymer, Vincent","Sarana, Alexey",Bundesliga 2021-22,2022.05.01,0.13755555555555554,0.15475,0.259,0.181,0.172,-0.0,0.6,0.55,0.4,0.4,1.0,1.0,0.6444444444444445,0.6,0.5,0.5,1.0,1.0,0.2857299707094379,0.2989639160114865
"Braeuer, F","Keymer, Vincent",Bundesliga 2021-22,2022.05.14,0.1813333333333333,0.1813333333333333,0.06400000000000002,0.41900000000000004,0.06100000000000001,,0.5666666666666667,0.5666666666666667,0.3,0.9,,,0.6333333333333333,0.6333333333333333,0.3,0.9,,,0.3576911915406182,0.3576911915406182
"Keymer, Vincent","Nisipeanu, Liviu-Dieter",Bundesliga 2021-22,2022.05.15,0.02569230769230769,0.041749999999999995,0.144,0.014000000000000002,0.008,0.0,0.8923076923076924,0.825,0.9,1.0,1.0,1.0,0.9230769230769231,0.875,1.0,1.0,1.0,1.0,0.08611346495266486,0.10715164188650754
"Jones, G","Keymer, Vincent",Bundesliga 2021-22,2022.05.28,0.049375,0.049375,0.079,0.0,,,0.75,0.75,1.0,,,,0.875,0.875,1.0,,,,0.11918997441060215,0.11918997441060215
"Keymer, Vincent","Huschenbeth, Niclas",Bundesliga 2021-22,2022.05.29,0.23490566037735847,0.31125,0.047,0.0019999999999999935,0.8150000000000001,-0.0,0.7169811320754716,0.625,0.7,0.3,0.8,1.0,0.7924528301886793,0.725,0.9,0.3,0.8,1.0,0.7491113264331417,0.8507950655649946
"Keymer, Vincent","Hracek, Zbynek",4th Prague Challengers,2022.06.08,0.1321212121212121,0.1321212121212121,0.33899999999999997,0.097,-0.0,,0.6363636363636364,0.6363636363636364,0.4,1.0,1.0,,0.6363636363636364,0.6363636363636364,0.4,1.0,1.0,,0.32903986817479236,0.32903986817479236
"Keymer, Vincent","Sasikiran, Krishnan",4th Prague Challengers,2022.06.09,0.17466666666666666,0.17466666666666666,0.15299999999999997,0.40099999999999997,-0.030000000000000016,,0.5333333333333333,0.5333333333333333,0.4,0.9,,,0.6333333333333333,0.6333333333333333,0.6,0.9,,,0.5141496718441735,0.5141496718441735
