white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Nihal Sarin,"Maghsoodloo, Parham",GM Belgrade 2022,2022.03.11,0.16710526315789473,0.16710526315789473,0.29900000000000004,0.256,0.041,,0.4473684210526316,0.4473684210526316,0.3,0.7,0.75,,0.5526315789473685,0.5526315789473685,0.4,0.8,0.75,,0.23464646085797267,0.23464646085797267
"Navara, David",Nihal Sarin,GM Belgrade 2022,2022.03.12,0.2961224489795919,0.17225,0.11200000000000002,0.19499999999999998,0.23399999999999999,0.8466666666666666,0.3877551020408163,0.375,0.2,0.3,0.5,0.4444444444444444,0.42857142857142855,0.425,0.3,0.3,0.6,0.4444444444444444,0.526548574549912,0.20980439608212365
Nihal Sarin,"Indjic, Aleksandar",GM Belgrade 2022,2022.03.13,0.04903225806451616,0.04903225806451616,0.061,0.015000000000000036,0.07600000000000007,,0.6129032258064516,0.6129032258064516,0.6,0.7,1.0,,0.7419354838709677,0.7419354838709677,0.8,0.7,1.0,,0.17754539022852114,0.17754539022852114
"Sjugirov, Sanan",Nihal Sarin,GM Belgrade 2022,2022.03.14,0.0335,0.0335,0.06700000000000002,0.0,,,0.7,0.7,1.0,,,,0.8,0.8,1.0,,,,0.09990916927521297,0.09990916927521297
Nihal Sarin,Rakshitta Ravi,Fagernes GM Open 2022,2022.04.10,0.053333333333333316,0.053333333333333316,0.10999999999999996,0.0020000000000000018,-0.0,,0.6190476190476191,0.6190476190476191,0.9,1.0,,,0.7619047619047619,0.7619047619047619,1.0,1.0,,,0.10785793124908957,0.10785793124908957
"Brynell, Stellan",Nihal Sarin,Fagernes GM Open 2022,2022.04.11,0.31107142857142855,0.31107142857142855,0.076,0.32700000000000007,0.585,,0.6071428571428571,0.6071428571428571,0.5,0.75,,,0.6428571428571429,0.6428571428571429,0.6,0.75,,,0.8881413771579983,0.8881413771579983
"Can, E",Nihal Sarin,Fagernes GM Open 2022,2022.04.12,0.37176470588235294,0.37176470588235294,0.092,0.7714285714285715,,,0.4117647058823529,0.4117647058823529,0.42857142857142855,,,,0.5294117647058824,0.5294117647058824,0.42857142857142855,,,,0.7808667883682021,0.7808667883682021
Nihal Sarin,"Schwarz, Dusan",Fagernes GM Open 2022,2022.04.12,0.10055555555555554,0.10055555555555554,0.18099999999999997,-0.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.8333333333333334,0.8333333333333334,1.0,,,,0.26138707430624625,0.26138707430624625
Nihal Sarin,"Vestby-Ellingsen, Mads",Fagernes GM Open 2022,2022.04.13,0.12363636363636364,0.12363636363636364,0.10900000000000003,0.16300000000000003,-0.0,,0.6363636363636364,0.6363636363636364,0.9,1.0,,,0.6818181818181818,0.6818181818181818,0.9,1.0,,,0.4620713762071361,0.4620713762071361
"Abdumalik, Zhansaya",Nihal Sarin,Fagernes GM Open 2022,2022.04.14,0.19130434782608693,0.19130434782608693,0.33599999999999997,0.10399999999999995,0.0,,0.5217391304347826,0.5217391304347826,0.8,1.0,,,0.6086956521739131,0.6086956521739131,0.9,1.0,,,0.3101803631881133,0.3101803631881133
Nihal Sarin,"Hillarp Persson, Tiger",Fagernes GM Open 2022,2022.04.15,0.10250000000000002,0.10250000000000002,0.10250000000000002,,,,0.5,0.5,,,,,0.5,0.5,,,,,0.15840349322747482,0.15840349322747482
"Blomqvist, E",Nihal Sarin,Fagernes GM Open 2022,2022.04.16,0.13347826086956519,0.13347826086956519,0.12999999999999995,0.14400000000000002,0.11000000000000003,,0.391304347826087,0.391304347826087,0.4,0.3333333333333333,,,0.43478260869565216,0.43478260869565216,0.4,0.3333333333333333,,,0.16921231138457588,0.16921231138457588
Nihal Sarin,Erigaisi Arjun,Fagernes GM Open 2022,2022.04.17,-0.013333333333333334,-0.013333333333333334,-0.029000000000000005,0.018000000000000002,,,0.8,0.8,0.6,,,,0.9333333333333333,0.9333333333333333,1.0,,,,0.08997354108424374,0.08997354108424374
Nihal Sarin,"Perez Bolanos, Joel",I Menorca Open 2022,2022.04.20,0.051333333333333356,0.051333333333333356,0.07700000000000004,-0.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.7333333333333333,0.7333333333333333,1.0,,,,0.13616516581325921,0.13616516581325921
Nihal Sarin,"Iermito, Sebastian",I Menorca Open 2022,2022.04.21,0.114,0.114,0.17099999999999999,-0.0,,,0.6,0.6,1.0,,,,0.6,0.6,1.0,,,,0.15141239805813228,0.15141239805813228
"Schenderowitsch, Michael",Nihal Sarin,I Menorca Open 2022,2022.04.21,0.04173913043478259,0.04173913043478259,0.09599999999999996,0.0,0.0,,0.6956521739130435,0.6956521739130435,1.0,1.0,,,0.782608695652174,0.782608695652174,1.0,1.0,,,0.07333932182998568,0.07333932182998568
"Peng, Li Min",Nihal Sarin,I Menorca Open 2022,2022.04.22,0.49920000000000003,0.49920000000000003,0.23499999999999996,0.6129999999999999,0.8,,0.4,0.4,0.3,0.4,,,0.48,0.48,0.4,0.4,,,0.9819195486392966,0.9819195486392966
"Aryan, C",Nihal Sarin,I Menorca Open 2022,2022.04.23,0.13909090909090913,0.13909090909090913,0.072,0.23399999999999999,0.0,,0.6363636363636364,0.6363636363636364,0.6,1.0,,,0.6363636363636364,0.6363636363636364,0.6,1.0,,,0.3165575113761448,0.3165575113761448
